"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.045318660E-1,1.395000052E-2,-7.905000448E-2,9.862950325E0,9.863276972E0
2.070451780E-1,1.905000024E-2,-6.195000187E-2,9.820050240E0,9.820264121E0
2.095531030E-1,2.895000204E-2,-9.795000404E-2,9.832050323E0,9.832580835E0
2.120636400E-1,2.400000021E-2,-7.695000619E-2,9.856050491E0,9.856380096E0
2.145743320E-1,2.595000155E-2,-6.195000187E-2,9.898950577E0,9.899178437E0
2.170876400E-1,3.795000166E-2,-6.705000252E-2,9.853950500E0,9.854251690E0
2.195955610E-1,2.595000155E-2,-8.100000024E-2,9.829950333E0,9.830318303E0
2.221060970E-1,1.200000010E-2,-9.105000645E-2,9.868050575E0,9.868477910E0
2.246167890E-1,1.905000024E-2,-8.400000632E-2,9.883050919E0,9.883426246E0
2.271300970E-1,1.200000010E-2,-9.300000221E-2,9.856050491E0,9.856496552E0
2.296380170E-1,4.950000439E-3,-5.295000225E-2,9.829950333E0,9.830094188E0
2.321485540E-1,1.005000062E-2,-9.300000221E-2,9.861000061E0,9.861443718E0
2.346592460E-1,-1.050000079E-3,-9.600000083E-2,9.847050667E0,9.847518669E0
2.371725540E-1,3.000000026E-3,-1.030500084E-1,9.816000938E0,9.816542300E0
2.396804740E-1,3.105000220E-2,-7.200000435E-2,9.825000763E0,9.825313639E0
2.421910100E-1,1.695000008E-2,-9.105000645E-2,9.865950584E0,9.866385272E0
2.447017030E-1,-6.000000052E-3,-8.595000207E-2,9.871050835E0,9.871426846E0
2.472149330E-1,-1.050000079E-3,-6.495000422E-2,9.868050575E0,9.868264374E0
2.497229490E-1,4.605000094E-2,-7.200000435E-2,9.877950668E0,9.878320404E0
2.522334090E-1,5.295000225E-2,-9.600000083E-2,9.853950500E0,9.854560374E0
2.547441780E-1,1.695000008E-2,-8.895000070E-2,9.883050919E0,9.883465731E0
2.572574860E-1,2.205000073E-2,-5.505000427E-2,9.873000145E0,9.873178240E0
2.597654070E-1,4.095000029E-2,-4.800000042E-2,9.813000679E0,9.813203515E0
2.622759430E-1,3.795000166E-2,-6.195000187E-2,9.885000229E0,9.885267196E0
2.647866360E-1,1.695000008E-2,-7.395000011E-2,9.880050659E0,9.880341944E0
2.672999430E-1,-4.050000105E-3,-9.105000645E-2,9.813000679E0,9.813423910E0
2.698078820E-1,2.595000155E-2,-7.695000619E-2,9.838950157E0,9.839285284E0
2.723184190E-1,7.050000131E-3,-7.200000435E-2,9.861000061E0,9.861265431E0
2.748291110E-1,3.000000026E-3,-9.600000083E-2,9.844050407E0,9.844518953E0
2.773424190E-1,3.105000220E-2,-9.600000083E-2,9.849000931E0,9.849517726E0
2.798503440E-1,4.605000094E-2,-7.905000448E-2,9.841950417E0,9.842375603E0
2.823608810E-1,3.600000218E-2,-1.009500027E-1,9.826950073E0,9.827534515E0
2.848715730E-1,2.400000021E-2,-8.595000207E-2,9.838950157E0,9.839354836E0
2.873848810E-1,3.600000218E-2,-6.900000572E-2,9.820050240E0,9.820358634E0
2.898927910E-1,4.605000094E-2,-8.100000024E-2,9.823050499E0,9.823492389E0
2.924033270E-1,3.000000026E-3,-1.050000042E-1,9.844050407E0,9.844610832E0
2.949140190E-1,-1.305000018E-2,-1.080000028E-1,9.849000931E0,9.849601699E0
2.974273270E-1,1.005000062E-2,-8.400000632E-2,9.849000931E0,9.849364261E0
2.999352520E-1,-6.000000052E-3,-1.360500008E-1,9.820050240E0,9.820994466E0
