"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.805757440E-1,8.205000311E-2,-9.795000404E-2,9.820050240E0,9.820881484E0
1.830889850E-1,6.195000187E-2,-6.900000572E-2,9.849000931E0,9.849437453E0
1.855969100E-1,1.080000028E-1,-6.900000572E-2,9.859050751E0,9.859883707E0
1.881073690E-1,9.795000404E-2,-6.900000572E-2,9.853950500E0,9.854678872E0
1.906178310E-1,9.600000083E-2,-7.200000435E-2,9.865950584E0,9.866680340E0
1.931310570E-1,9.300000221E-2,-7.200000435E-2,9.880050659E0,9.880750681E0
1.956388280E-1,1.219500080E-1,-6.495000422E-2,9.862950325E0,9.863918056E0
1.981492870E-1,7.905000448E-2,-6.495000422E-2,9.837000847E0,9.837532875E0
2.006599800E-1,7.005000114E-2,-6.900000572E-2,9.850950241E0,9.851440943E0
2.031732110E-1,7.905000448E-2,-6.495000422E-2,9.871050835E0,9.871581028E0
2.056809870E-1,8.595000207E-2,-6.495000422E-2,9.838950157E0,9.839539933E0
2.081914460E-1,8.895000070E-2,-5.700000376E-2,9.808050156E0,9.808619116E0
2.107019080E-1,7.005000114E-2,-7.200000435E-2,9.817950249E0,9.818464141E0
2.132151390E-1,1.219500080E-1,-3.600000218E-2,9.826950073E0,9.827772665E0
2.157230780E-1,8.595000207E-2,-6.195000187E-2,9.850950241E0,9.851519977E0
2.182335370E-1,6.495000422E-2,-5.700000376E-2,9.837000847E0,9.837380402E0
2.207440760E-1,9.105000645E-2,-6.900000572E-2,9.853950500E0,9.854612705E0
2.232573060E-1,1.390500069E-1,-6.705000252E-2,9.826950073E0,9.828162511E0
2.257652320E-1,1.099500060E-1,-7.905000448E-2,9.844050407E0,9.844981784E0
2.282756720E-1,1.009500027E-1,-4.305000231E-2,9.877950668E0,9.878560301E0
2.307861340E-1,9.105000645E-2,-5.295000225E-2,9.844050407E0,9.844613869E0
2.332994410E-1,8.205000311E-2,-6.900000572E-2,9.837000847E0,9.837585012E0
2.358071360E-1,7.200000435E-2,-4.995000362E-2,9.849000931E0,9.849390760E0
2.383178110E-1,8.400000632E-2,-2.205000073E-2,9.859050751E0,9.859433245E0
2.408282730E-1,9.300000221E-2,-3.600000218E-2,9.844050407E0,9.844555522E0
2.433415030E-1,9.105000645E-2,-4.800000042E-2,9.838950157E0,9.839488518E0
2.458492750E-1,5.805000290E-2,-8.400000632E-2,9.873000145E0,9.873528127E0
2.483597340E-1,8.400000632E-2,-7.695000619E-2,9.847050667E0,9.847709588E0
2.508704120E-1,7.005000114E-2,-5.295000225E-2,9.835050583E0,9.835442576E0
2.533836430E-1,6.000000238E-2,-7.905000448E-2,9.853950500E0,9.854450232E0
2.558914140E-1,8.205000311E-2,-9.300000221E-2,9.862950325E0,9.863730041E0
2.584018740E-1,7.395000011E-2,-5.295000225E-2,9.847050667E0,9.847470698E0
2.609125750E-1,8.595000207E-2,-7.200000435E-2,9.838950157E0,9.839588995E0
2.634255750E-1,8.400000632E-2,-8.100000024E-2,9.804000854E0,9.804695291E0
2.659335000E-1,5.805000290E-2,-6.705000252E-2,9.820050240E0,9.820450713E0
2.684439600E-1,7.395000011E-2,-4.305000231E-2,9.835050583E0,9.835422811E0
2.709544980E-1,5.805000290E-2,-4.305000231E-2,9.817950249E0,9.818216243E0
2.734677050E-1,5.805000290E-2,-4.995000362E-2,9.883050919E0,9.883347624E0
2.759756300E-1,6.195000187E-2,-6.495000422E-2,9.868050575E0,9.868458768E0
2.784860900E-1,7.695000619E-2,-4.095000029E-2,9.847050667E0,9.847436471E0
2.809966280E-1,1.319999993E-1,-6.705000252E-2,9.808050156E0,9.809167526E0
2.835098690E-1,8.895000070E-2,-6.495000422E-2,9.873000145E0,9.873614458E0
2.860175630E-1,5.295000225E-2,-5.505000427E-2,9.837000847E0,9.837297386E0
2.885282540E-1,9.600000083E-2,-6.705000252E-2,9.847050667E0,9.847746876E0
2.910387150E-1,1.030500084E-1,-9.600000083E-2,9.823050499E0,9.824060078E0
2.935519600E-1,7.395000011E-2,-9.600000083E-2,9.835050583E0,9.835797099E0
2.960597310E-1,8.205000311E-2,-5.700000376E-2,9.820050240E0,9.820558432E0
2.985701910E-1,7.905000448E-2,-4.305000231E-2,9.813000679E0,9.813413501E0
3.010808830E-1,6.705000252E-2,-5.700000376E-2,9.820050240E0,9.820444563E0
3.035941140E-1,4.995000362E-2,-5.295000225E-2,9.861000061E0,9.861268727E0
3.061018080E-1,1.009500027E-1,-9.105000645E-2,9.838950157E0,9.839889288E0
3.086123450E-1,6.495000422E-2,-9.300000221E-2,9.837000847E0,9.837654861E0
3.111228060E-1,5.505000427E-2,-5.295000225E-2,9.841950417E0,9.842246807E0
3.136360370E-1,1.200000048E-1,-6.000000238E-2,9.880050659E0,9.880961544E0
3.161439770E-1,9.600000083E-2,-7.695000619E-2,9.829950333E0,9.830720261E0
3.186544370E-1,6.195000187E-2,-7.200000435E-2,9.816000938E0,9.816460473E0
3.211649750E-1,7.395000011E-2,-2.595000155E-2,9.850950241E0,9.851261983E0
3.236782060E-1,8.400000632E-2,-6.705000252E-2,9.871050835E0,9.871635948E0
3.261861260E-1,8.205000311E-2,-5.505000427E-2,9.816000938E0,9.816498211E0
3.286965850E-1,5.505000427E-2,-5.295000225E-2,9.849000931E0,9.849297109E0
3.312071240E-1,7.395000011E-2,-9.300000221E-2,9.850950241E0,9.851666775E0
3.337203550E-1,7.395000011E-2,-4.500000179E-2,9.844050407E0,9.844431016E0
3.362280390E-1,5.505000427E-2,-7.905000448E-2,9.862950325E0,9.863420731E0
3.387387290E-1,7.005000114E-2,-6.705000252E-2,9.832050323E0,9.832528478E0
3.412491910E-1,9.795000404E-2,-6.000000238E-2,9.853950500E0,9.854619966E0
3.437624220E-1,3.405000269E-2,-8.100000024E-2,9.853950500E0,9.854342234E0
3.462701980E-1,1.009500027E-1,-7.695000619E-2,9.838950157E0,9.839768920E0
3.487806570E-1,7.695000619E-2,-6.000000238E-2,9.816000938E0,9.816485915E0
3.512913500E-1,8.595000207E-2,-8.895000070E-2,9.850950241E0,9.851726760E0
3.538045800E-1,1.009500027E-1,-7.200000435E-2,9.849000931E0,9.849781431E0
3.563123520E-1,8.895000070E-2,-6.195000187E-2,9.861000061E0,9.861595820E0
3.588228110E-1,7.200000435E-2,-6.900000572E-2,9.832050323E0,9.832556055E0
3.613332730E-1,6.000000238E-2,-6.705000252E-2,9.837000847E0,9.837412331E0
3.638467340E-1,7.695000619E-2,-4.995000362E-2,9.835050583E0,9.835478447E0
3.663544290E-1,9.300000221E-2,-7.695000619E-2,9.850950241E0,9.851689751E0
3.688648880E-1,5.805000290E-2,-1.009500027E-1,9.838950157E0,9.839639267E0
3.713754270E-1,6.495000422E-2,-9.105000645E-2,9.837000847E0,9.837636620E0
3.738886570E-1,1.080000028E-1,-5.505000427E-2,9.832050323E0,9.832797571E0
3.763965830E-1,9.105000645E-2,-5.295000225E-2,9.829950333E0,9.830514602E0
3.789070420E-1,8.595000207E-2,-6.000000238E-2,9.856050491E0,9.856607869E0
3.814174900E-1,5.805000290E-2,-8.100000024E-2,9.862950325E0,9.863453752E0
3.839307970E-1,9.105000645E-2,-8.100000024E-2,9.847050667E0,9.847804727E0
3.864384920E-1,9.600000083E-2,-6.705000252E-2,9.862950325E0,9.863645412E0
3.889491820E-1,1.099500060E-1,-7.905000448E-2,9.874950409E0,9.875878872E0
3.914596440E-1,8.595000207E-2,-5.505000427E-2,9.862950325E0,9.863478444E0
3.939728450E-1,5.805000290E-2,-4.800000042E-2,9.841950417E0,9.842238658E0
3.964806170E-1,7.200000435E-2,-3.795000166E-2,9.856050491E0,9.856386533E0
3.989910760E-1,7.695000619E-2,-6.495000422E-2,9.861000061E0,9.861514184E0
4.015017680E-1,8.595000207E-2,-7.905000448E-2,9.817950249E0,9.818644682E0
4.040150130E-1,1.150500029E-1,-6.195000187E-2,9.841950417E0,9.842817803E0
4.065227840E-1,9.300000221E-2,-7.695000619E-2,9.850950241E0,9.851689751E0
4.090332440E-1,8.895000070E-2,-6.495000422E-2,9.838950157E0,9.839566596E0
4.115437050E-1,5.805000290E-2,-4.800000042E-2,9.820050240E0,9.820339124E0
4.140569700E-1,6.195000187E-2,-7.395000011E-2,9.826950073E0,9.827423576E0
4.165648950E-1,4.305000231E-2,-7.395000011E-2,9.849000931E0,9.849372632E0
4.190753550E-1,1.030500084E-1,-4.305000231E-2,9.817950249E0,9.818585422E0
4.215858930E-1,9.795000404E-2,-5.295000225E-2,9.861000061E0,9.861628674E0
4.240991190E-1,9.300000221E-2,-7.905000448E-2,9.856050491E0,9.856806237E0
4.266070440E-1,8.895000070E-2,-5.295000225E-2,9.847050667E0,9.847594764E0
4.291175040E-1,9.300000221E-2,-5.295000225E-2,9.841950417E0,9.842532230E0
4.316280270E-1,8.400000632E-2,-5.700000376E-2,9.844050407E0,9.844573806E0
4.341412580E-1,8.895000070E-2,-5.700000376E-2,9.853950500E0,9.854516811E0
4.366489520E-1,8.595000207E-2,-1.695000008E-2,9.850950241E0,9.851339775E0
4.391596430E-1,7.200000435E-2,-7.695000619E-2,9.844050407E0,9.844614453E0
4.416701040E-1,7.905000448E-2,-4.305000231E-2,9.868050575E0,9.868461094E0
4.441833450E-1,8.595000207E-2,-4.095000029E-2,9.841950417E0,9.842410899E0
4.466911160E-1,8.595000207E-2,-4.995000362E-2,9.838950157E0,9.839452353E0
4.492015760E-1,1.129500046E-1,-8.400000632E-2,9.849000931E0,9.850006753E0
4.517122680E-1,6.495000422E-2,-6.705000252E-2,9.832050323E0,9.832493467E0
4.542254940E-1,6.195000187E-2,-7.395000011E-2,9.844050407E0,9.844523088E0
4.567331880E-1,9.795000404E-2,-8.400000632E-2,9.850950241E0,9.851795311E0
4.592437250E-1,9.300000221E-2,-6.705000252E-2,9.874950409E0,9.875615944E0
4.617541860E-1,8.205000311E-2,-5.700000376E-2,9.849000931E0,9.849507629E0
4.642674170E-1,7.905000448E-2,-7.395000011E-2,9.874950409E0,9.875543686E0
4.667753130E-1,7.905000448E-2,-6.900000572E-2,9.868050575E0,9.868608416E0
4.692858490E-1,1.080000028E-1,-6.195000187E-2,9.853950500E0,9.854737047E0
4.717963110E-1,1.080000028E-1,-6.195000187E-2,9.849000931E0,9.849787873E0
4.743095420E-1,1.339500099E-1,-8.400000632E-2,9.835050583E0,9.836321394E0
4.768174720E-1,7.200000435E-2,-8.595000207E-2,9.820050240E0,9.820690307E0
4.793279310E-1,8.400000632E-2,-4.500000179E-2,9.856050491E0,9.856511162E0
4.818383930E-1,8.400000632E-2,-8.895000070E-2,9.811050415E0,9.811813204E0
4.843517010E-1,7.005000114E-2,-9.795000404E-2,9.849000931E0,9.849737080E0
4.868593900E-1,8.595000207E-2,-6.495000422E-2,9.847050667E0,9.847639958E0
4.893700800E-1,7.905000448E-2,-6.900000572E-2,9.799050331E0,9.799612099E0
4.918805420E-1,5.505000427E-2,-4.305000231E-2,9.844050407E0,9.844298463E0
4.943937730E-1,8.400000632E-2,-3.795000166E-2,9.841950417E0,9.842382039E0
4.969015350E-1,1.150500029E-1,-8.100000024E-2,9.817950249E0,9.818958427E0
4.994119940E-1,7.200000435E-2,-8.895000070E-2,9.841950417E0,9.842615715E0
5.019224560E-1,5.295000225E-2,-7.395000011E-2,9.849000931E0,9.849420878E0
5.044359170E-1,9.105000645E-2,-3.795000166E-2,9.861000061E0,9.861493422E0
5.069436890E-1,7.005000114E-2,-6.705000252E-2,9.816000938E0,9.816479875E0
5.094541520E-1,1.080000028E-1,-8.595000207E-2,9.837000847E0,9.837969153E0
5.119646140E-1,8.595000207E-2,-4.995000362E-2,9.832050323E0,9.832552871E0
5.144778450E-1,1.099500060E-1,-6.195000187E-2,9.823050499E0,9.823861151E0
5.441734450E-1,-2.505000122E-2,4.570050240E0,8.661000252E0,9.792798990E0
5.466839150E-1,1.200000010E-2,4.597949982E0,8.661000252E0,9.805825483E0
5.491971460E-1,2.895000204E-2,4.603050232E0,8.665950775E0,9.812625152E0
5.517050690E-1,1.200000010E-2,4.630050182E0,8.671050072E0,9.829782197E0
5.542155360E-1,1.200000010E-2,4.615050316E0,8.689949989E0,9.839413816E0
5.567260740E-1,1.395000052E-2,4.582050323E0,8.680950165E0,9.816021370E0
5.592393030E-1,1.005000062E-2,4.579050064E0,8.641950607E0,9.780138588E0
5.617469970E-1,1.695000008E-2,4.600950241E0,8.647050858E0,9.794923122E0
5.642576970E-1,-1.050000079E-3,4.596000195E0,8.647050858E0,9.792584308E0
5.667681580E-1,1.395000052E-2,4.600950241E0,8.661000252E0,9.807235242E0
5.692813890E-1,-1.050000079E-3,4.594050407E0,8.665950775E0,9.808363935E0
5.717891600E-1,1.905000024E-2,4.594050407E0,8.671050072E0,9.812888025E0
5.742996300E-1,1.395000052E-2,4.606050014E0,8.638050079E0,9.789371814E0
5.768100910E-1,-1.050000079E-3,4.606050014E0,8.652000427E0,9.801673797E0
5.793235530E-1,3.405000269E-2,4.606050014E0,8.671050072E0,9.818552107E0
5.818312470E-1,-1.050000079E-3,4.584000111E0,8.677950859E0,9.814269674E0
5.843417980E-1,-1.050000079E-3,4.600950241E0,8.673000336E0,9.817824558E0
5.868522590E-1,-4.050000105E-3,4.591050148E0,8.676000595E0,9.815841492E0
5.893654900E-1,7.050000131E-3,4.600950241E0,8.661000252E0,9.807227854E0
5.918734150E-1,-6.000000052E-3,4.588950157E0,8.659049988E0,9.799879909E0
5.943838890E-1,0.000000000E0,4.597949982E0,8.668950081E0,9.812840544E0
5.968944270E-1,1.905000024E-2,4.609950066E0,8.653950691E0,9.805246814E0
5.994076580E-1,3.105000220E-2,4.588950157E0,8.653950691E0,9.795421901E0
6.019155830E-1,7.050000131E-3,4.584000111E0,8.640000343E0,9.780731703E0
6.044260430E-1,1.200000010E-2,4.584000111E0,8.665950775E0,9.803667877E0
6.069365040E-1,3.795000166E-2,4.576950073E0,8.656949997E0,9.792481576E0
6.094497350E-1,3.405000269E-2,4.575000286E0,8.653950691E0,9.788904412E0
6.119575060E-1,3.105000220E-2,4.621950150E0,8.652000427E0,9.809204793E0
6.144679520E-1,3.105000220E-2,4.618050098E0,8.652000427E0,9.807367751E0
6.169786440E-1,0.000000000E0,4.620000362E0,8.629950523E0,9.788792029E0
6.194918750E-1,3.600000218E-2,4.582050323E0,8.641950607E0,9.781604749E0
6.219995690E-1,7.050000131E-3,4.591050148E0,8.647050858E0,9.790264537E0
6.245100330E-1,1.395000052E-2,4.627050400E0,8.664000511E0,9.822153270E0
6.270205710E-1,1.905000024E-2,4.654050350E0,8.673000336E0,9.842839143E0
6.295338020E-1,2.895000204E-2,4.624950409E0,8.650050163E0,9.808892507E0
6.320417270E-1,2.895000204E-2,4.600950241E0,8.644950867E0,9.793097401E0
6.345521720E-1,2.400000021E-2,4.624950409E0,8.653950691E0,9.812319035E0
6.370627110E-1,1.005000062E-2,4.579050064E0,8.638050079E0,9.776692164E0
6.395759420E-1,3.000000026E-3,4.609950066E0,8.629950523E0,9.784053079E0
6.420836360E-1,1.395000052E-2,4.636950016E0,8.677950859E0,9.839122479E0
6.445943210E-1,2.895000204E-2,4.615050316E0,8.668950081E0,9.820907444E0
6.471047830E-1,4.800000042E-2,4.621950150E0,8.671050072E0,9.826079408E0
6.496180140E-1,-1.095000096E-2,4.612950325E0,8.653950691E0,9.806645358E0
6.521257850E-1,4.950000439E-3,4.608000278E0,8.644950867E0,9.796370070E0
6.546364890E-1,1.200000010E-2,4.633950233E0,8.664000511E0,9.825402975E0
6.571469510E-1,-1.050000079E-3,4.615050316E0,8.656949997E0,9.810273889E0
6.596601820E-1,1.200000010E-2,4.591050148E0,8.688000679E0,9.826456190E0
6.621678760E-1,-1.095000096E-2,4.618050098E0,8.656949997E0,9.811691488E0
6.646783830E-1,3.600000218E-2,4.572000027E0,8.680950165E0,9.811390116E0
6.671888450E-1,1.200000010E-2,4.600950241E0,8.683050156E0,9.826710901E0
6.697023060E-1,3.000000026E-3,4.575000286E0,8.707050323E0,9.835820350E0
6.722100010E-1,2.205000073E-2,4.594050407E0,8.665950775E0,9.808388664E0
6.747205470E-1,3.405000269E-2,4.644000053E0,8.661000252E0,9.827554185E0
6.772310090E-1,2.205000073E-2,4.621950150E0,8.689949989E0,9.842669364E0
6.797442390E-1,2.595000155E-2,4.596000195E0,8.671050072E0,9.813816818E0
6.822519340E-1,4.950000439E-3,4.612950325E0,8.661000252E0,9.812861997E0
6.847626240E-1,3.405000269E-2,4.615050316E0,8.668950081E0,9.820923802E0
6.872731150E-1,3.000000026E-3,4.632000446E0,8.656949997E0,9.818259539E0
6.897864220E-1,0.000000000E0,4.621950150E0,8.665950775E0,9.821462520E0
6.922941170E-1,3.405000269E-2,4.588950157E0,8.638050079E0,9.781387024E0
6.948048070E-1,1.905000024E-2,4.618050098E0,8.641950607E0,9.798472325E0
6.973152500E-1,-6.000000052E-3,4.621950150E0,8.664000511E0,9.819743583E0
6.998284800E-1,4.950000439E-3,4.608000278E0,8.656949997E0,9.806960504E0
